,Date,Real_GDP_growth,Nominal_GDP_growth,Real_disposable_income_growth,Nominal_disposable_income_growth,Unemployment_rate,CPI_inflation_rate,3_month_Treasury_rate,5-year_Treasury_yield,10-year_Treasury_yield,BBB_corporate_yield,Mortgage_rate,Prime_rate,Dow_Jones,Index_House_Price_Index,Commercial_Real_Estate_Price_Index,Market_Volatility_Index,Inertia Cohort,Bias Cohort,DR Cohort
0,2011-03-31,-0.9,1.1,4.1,7.6,9.0,4.3,0.1,2.1,3.5,5.0,4.8,3.3,13909,133,178,29.4,5.752184040439666,0.5080430247836707,0.3121873856288886
1,2011-06-30,2.7,5.5,-0.8,3.2,9.1,4.6,0.0,1.8,3.3,4.8,4.7,3.3,13844,134,175,22.7,5.728069152421068,0.3656090930200057,0.3690320164763153
2,2011-09-30,-0.1,2.3,2.1,4.1,9.0,2.6,0.0,1.1,2.5,4.5,4.3,3.3,11677,134,172,48.0,5.768499267455191,0.3963058246400543,0.3523305182518805
3,2011-12-31,4.6,5.1,0.9,2.2,8.6,1.8,0.0,1.0,2.1,4.8,4.0,3.3,13019,134,183,45.5,5.847636122999533,0.4356063005926141,0.3444952238757957
4,2012-03-31,3.4,5.8,6.3,9.1,8.3,2.3,0.1,0.9,2.1,4.4,3.9,3.3,14628,135,183,23.0,5.8423627419587225,0.3859452870901766,0.3766296776192296
5,2012-06-30,1.8,3.5,2.7,3.7,8.2,0.8,0.1,0.8,1.8,4.3,3.8,3.3,14100,139,182,26.7,5.790927494909759,0.4317994684543565,0.3778191525999997
6,2012-09-30,0.6,2.8,-3.1,-2.0,8.0,1.8,0.1,0.7,1.6,3.9,3.6,3.3,14895,142,185,20.5,5.7532608583066605,0.4356372360786494,0.3537310691105033
7,2012-12-31,0.5,2.5,11.6,14.1,7.8,2.7,0.1,0.7,1.7,3.6,3.4,3.3,14835,145,188,22.7,5.884570045546811,0.5808118324203815,0.2388926629174669
8,2013-03-31,4.0,5.7,-14.9,-13.7,7.7,1.6,0.1,0.8,1.9,3.7,3.5,3.3,16396,149,190,19.0,5.774961122042327,0.4842991297124973,0.2658244472935364
9,2013-06-30,1.1,1.9,3.1,3.3,7.5,-0.4,0.1,0.9,2.0,3.8,3.7,3.3,16771,152,201,20.5,5.778964298831933,0.4560329299571785,0.3184365335875555
10,2013-09-30,3.4,5.5,1.4,3.1,7.2,2.2,0.0,1.5,2.7,4.7,4.4,3.3,17718,156,213,17.0,5.905193604233194,0.4192202034092915,0.2807701681696319
11,2013-12-31,3.5,5.7,0.6,2.0,6.9,1.5,0.1,1.4,2.8,4.5,4.3,3.3,19413,159,212,20.3,5.838059735970282,0.2942541984825431,0.3423164744325782
12,2014-03-31,-1.4,0.1,4.7,6.7,6.7,2.5,0.0,1.6,2.8,4.4,4.4,3.3,19711,161,209,21.4,5.845786774209581,0.3094344757114838,0.3466791581144831
13,2014-06-30,5.3,7.7,5.1,7.0,6.2,2.1,0.0,1.7,2.7,4.0,4.2,3.3,20569,162,219,17.0,5.798148258239202,0.2225794592214238,0.3116646565290463
14,2014-09-30,5.0,6.7,3.8,5.0,6.1,1.0,0.0,1.7,2.5,3.9,4.1,3.3,20459,165,223,17.0,5.748049632391335,0.3013113834151893,0.3150540726483247
15,2014-12-31,2.0,2.4,5.8,5.3,5.7,-1.0,0.0,1.6,2.3,4.0,4.0,3.3,21425,167,230,26.3,5.505543587421864,0.3792695781840076,0.3191778104783838
16,2015-03-31,3.7,3.4,5.6,3.7,5.5,-2.6,0.0,1.5,2.0,3.9,3.7,3.3,21708,169,241,22.4,5.287892833540828,0.2618830205238692,0.3654477233128919
17,2015-06-30,2.5,4.9,1.2,3.2,5.4,2.8,0.0,1.5,2.2,3.9,3.8,3.3,21631,171,246,18.9,5.368673949396469,0.2619979392531074,0.3545689770505074
18,2015-09-30,1.6,2.7,2.2,3.3,5.1,1.5,0.0,1.6,2.3,4.3,4.0,3.3,19959,174,246,40.7,5.368622937254436,0.2238299694182124,0.4031024421710381
19,2015-12-31,0.7,0.7,2.3,2.0,5.0,0.0,0.1,1.6,2.2,4.4,3.9,3.3,21101,176,244,24.4,5.590449696895509,0.2299654161928304,0.3840454524149106
20,2016-03-31,2.3,2.0,3.3,3.5,4.9,-0.2,0.3,1.4,2.0,4.5,3.7,3.5,21179,178,239,28.1,5.764950086862208,0.4139314283793318,0.3428034335906308
21,2016-06-30,1.3,4.1,-0.8,1.7,4.9,3.2,0.3,1.3,1.8,3.9,3.6,3.5,21622,180,248,25.8,5.421494046023075,0.2921954638927317,0.2938648740639891
22,2016-09-30,2.9,3.9,2.3,3.7,4.9,1.7,0.3,1.2,1.6,3.5,3.4,3.5,22469,183,256,18.1,5.446769751930168,0.3198491793727077,0.2814879434284267
23,2016-12-31,2.2,4.2,2.6,4.5,4.8,2.6,0.4,1.7,2.2,3.9,3.8,3.5,23277,186,257,22.5,5.353511971940647,0.2351809424725143,0.3458836120588838
24,2017-03-31,2.0,4.1,4.2,6.7,4.6,2.8,0.6,2.0,2.5,4.0,4.2,3.8,24508,188,252,13.1,5.388413667918387,0.2503744821345347,0.3244630882325229
25,2017-06-30,2.3,3.3,4.4,5.3,4.4,0.5,0.9,1.8,2.3,3.8,4.0,4.0,25125,191,272,16.0,5.777763096103401,0.3657665223575594,0.3151487515372604
